FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Summary Ratios
OCC Charter # 0			County: JACKSON			Summary Ratios--Page 1						7/23/2025 12:03:05 PM
Public Report
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		
 Earnings and Profitability	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 5	PCT	BANK	PG 5	PCT
 Percent of Average Assets:	
    Interest Income (TE)	8.57	5.24	98	11.23	5.12	99	10.36	5.27	98	11.20	4.72	99	13.63	3.68	99	
    - Interest Expense	0.63	1.97	1	0.56	2.07	1	0.80	2.13	2	0.22	1.39	0	0.03	0.38	0	
       Net Interest Income (TE)	7.94	3.28	98	10.67	3.07	99	9.56	3.15	99	10.98	3.33	99	13.60	3.30	99	
    + Noninterest Income	4.65	0.61	98	4.26	0.61	98	4.81	0.63	98	4.44	0.55	98	5.46	0.56	98	
    - Noninterest Expense	10.57	2.46	99	12.85	2.42	99	11.73	2.43	99	12.80	2.47	99	17.23	2.40	99	
       Pre-Provision Net Revenue (TE)	2.02	1.45	81	2.08	1.30	85	2.64	1.39	93	2.62	1.44	92	1.83	1.49	76	
    - Provision: Credit Losses	0.42	0.10	93	0.14	0.08	77	0.22	0.11	83	0.21	0.07	88	0.92	0.07	99	
    - Provision: Credit Loss Oth Assets	0.00	0.00	22	-0.02	0.00	18	0.01	0.00	82	0.02	0.00	87	N/A	0.00	N/A	
       Pretax Operating Income (TE)	1.60	1.34	69	1.95	1.19	86	2.41	1.25	93	2.39	1.35	91	0.91	1.42	13	
    + Realized Gains/Losses Sec	0.00	0.00	92	-0.04	0.00	6	-0.01	0.00	15	-0.03	-0.01	16	0.00	-0.01	86	
    + Unrealized Gains / Losses Equity Sec	0.01	0.00	93	-0.01	0.00	3	0.00	0.00	4	0.00	0.00	86	-0.03	0.00	1	
    Pretax Net Operating Income (TE)	1.61	1.34	70	1.91	1.19	83	2.40	1.25	93	2.36	1.33	91	0.88	1.41	13	
       Net Operating Income	1.19	1.09	61	1.41	0.97	79	1.85	1.02	90	1.76	1.12	85	0.66	1.18	9	
    Net Inc Attrib to Min Ints	0.00	0.00	98	0.00	0.00	98	0.00	0.00	97	0.00	0.00	98	0.00	0.00	99	
    Net Income Adjusted Sub S	1.19	1.04	65	1.41	0.93	81	1.85	0.97	93	1.76	1.04	89	0.66	1.09	10	
       Net Income	1.19	1.09	61	1.41	0.97	79	1.85	1.02	90	1.76	1.11	85	0.66	1.18	9	

 Margin Analysis:	
 Avg Earning Assets to Avg Assets	88.82	95.49	1	93.39	95.47	16	93.96	95.54	22	90.68	96.22	2	90.06	95.73	2	
 Avg Int-Bearing Funds to Avg Assets	43.95	72.53	1	58.67	72.50	9	54.49	72.64	4	54.70	69.44	6	60.94	67.86	24	
 Int Inc (TE) to Avg Earn Assets	9.64	5.49	98	12.03	5.38	99	11.03	5.53	98	12.35	4.91	99	15.13	3.86	99	
 Int Expense to Avg Earn Assets	0.71	2.07	1	0.60	2.17	1	0.86	2.23	2	0.24	1.44	1	0.04	0.39	0	
 Net Int Inc-TE to Avg Earn Assets	8.94	3.44	99	11.43	3.23	99	10.18	3.31	99	12.11	3.47	99	15.10	3.45	99	

 Loan & Lease Analysis:	
 Net Loss to Average Total LN&LS	0.31	0.07	89	0.02	0.06	55	0.20	0.09	83	0.32	0.04	93	0.01	0.02	54	
 Earnings Coverage of Net Losses (X)	12.49	146.31	27	166.88	108.66	78	20.74	91.38	40	11.28	131.02	19	400.67	226.96	80	
 ACL on LN&LS HFI to LN&LS HFI	0.89	1.21	13	0.73	1.22	6	0.80	1.20	9	0.66	1.28	4	0.50	1.31	1	
 ACL on LN&LS HFI to Net Losses (X)	2.38	87.86	11	36.37	76.43	53	3.61	59.02	14	2.02	80.61	3	85.51	122.38	66	
 ACL on LN&LS HFI to Nonaccrual LN&LS (X)	1.44	6.66	28	0.81	8.91	5	1.32	7.34	22	0.74	12.13	5	1.02	13.54	9	
 30-89 Days Past Due	3.31	0.48	99	4.20	0.39	99	4.67	0.39	99	6.12	0.38	99	7.45	0.31	99	
 Total LN&LS-90+ Days PD & Nonaccrual	1.83	0.60	91	2.61	0.46	98	1.98	0.57	93	2.26	0.38	95	1.59	0.34	92	
 Non-Curr Lns+OREO to Lns+OREO	1.83	0.66	90	2.72	0.51	98	1.98	0.63	92	2.38	0.42	95	1.95	0.39	94	

 Liquidity	
 Net Non Core Fund Dep New $250M	-27.93	8.96	1	4.73	10.91	29	-21.49	10.02	3	18.28	7.24	80	24.01	2.61	94	
 Net Loans & Leases to Assets	45.77	70.60	3	64.92	69.83	31	47.83	70.94	4	73.46	66.18	65	75.06	64.01	72	
 Net Loans & Leases to Deposits	52.07	82.61	3	77.77	82.95	35	54.71	83.32	3	89.90	78.03	72	90.95	73.79	78	

 Capitalization	
 Leverage Ratio	7.7114	10.40	1	9.9272	10.25	47	8.4411	10.31	7	10.0115	10.50	46	10.1909	10.20	55	
 Total Capital Ratio	27.5210	14.56	98	28.1489	14.47	98	25.3911	14.46	96	25.6081	15.55	94	21.9188	15.49	90	
 Cash Dividends to Net Income	0.00	30.28	37	0.00	27.68	40	0.00	36.24	18	0.00	38.88	15	0.00	33.97	16	
 Non-Curr Lns+OREO to T1 Capital+ACL	11.06	4.06	90	18.22	3.17	98	11.91	3.96	91	16.62	2.44	97	14.57	2.19	97	

 Growth Rates	
 Total Assets	67.02	5.42	99	7.55	5.58	65	69.66	5.05	99	14.43	4.89	88	10.69	3.95	79	
 Tier 1 Capital	29.65	7.17	96	18.51	7.68	90	28.35	7.02	97	18.35	6.80	93	38.30	9.39	95	
 Net Loans & Leases	17.76	6.19	91	6.89	8.79	40	10.47	6.43	75	12.00	8.88	69	3.62	13.02	15	
 Short Term Investments	149.99	25.04	91	15.09	42.18	47	489.59	33.19	97	46.34	44.54	61	-21.24	-38.88	70	
 Short Term Non Core Funding	66.39	7.26	90	-43.48	55.51	4	159.31	11.91	97	-53.97	105.75	1	-12.91	69.06	23	


 Average Total Assets		1,688,049			1,025,836			1,186,136			930,316			799,662				
 Net Income		5,042			3,617			21,973			16,371			2,196				


 Number of banks in Peer Group		515			519			521			512			502				



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Income Statement $
OCC Charter # 0			County: JACKSON			Income Statement $--Page 2						7/23/2025 12:03:06 PM
Public Report
																	Percent Change
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022			1 Year
 Non-Cur LN&LS to-ACL on LN&LS HFI	226.47	49.09	96	383.48	37.81	99	278.61	46.74	98	361.98	30.02	99	320.07	26.73	99	
    -Equity Capital	8.62	4.29	82	12.94	3.49	94	9.22	4.17	84	11.65	2.81	91	8.44	2.67	87	
 % Total P/D LN&LS-Incl Nonaccrual	5.13	1.12	98	6.81	0.89	99	6.64	1.00	99	8.38	0.85	99	9.04	0.73	99	
 Non Curr LNS+OREO to LNS+OREO	1.83	0.66	90	2.72	0.51	98	1.98	0.63	92	2.38	0.42	95	1.95	0.39	94	
 Non Curr LNS+OREO to T1 Cap + ACL on LN&LS HFI	11.06	4.06	90	18.22	3.17	98	11.91	3.96	91	16.62	2.44	97	14.57	2.19	97	
 Mod+Nonac+RE Acq to Eqcap+ACL on LN&LS HFI	2.55	5.02	39	4.59	3.91	65	2.42	4.83	38	4.81	3.51	69	N/A	0.00	N/A	
 Non-Curr Modified Debt/Gr LN&LS	0.06	0.03	79	0.00	0.02	59	0.02	0.02	72	0.00	0.02	70	N/A	0.00	N/A	
 Curr+Non-Curr Modified/GR LN&LS	0.06	0.16	53	0.00	0.11	36	0.02	0.15	42	0.00	0.13	41	N/A	0.00	N/A	
 Current Modified LN&LS/Total LN&LS	0.00	0.11	40	0.00	0.07	47	0.00	0.10	38	0.00	0.09	49	N/A	0.00	N/A	
 Rest+Nonac+RE Acq to Eqcap+ACL on LN&LS HFI	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	4.46	3.87	64	
 Non-Curr Restruct Debt/Gr LN&LS	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	0.01	0.03	65	
 Curr+Non-Curr Restruct/GR LN&LS	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	0.01	0.21	33	
 Current Restruct LN&LS/Total LN&LS	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	0.00	0.15	39	
 Loans Sec 1-4 Fam RE in Forclosure as % Total Loans Sec 1-4 Fam RE	0.00	0.05	60	0.00	0.04	62	0.00	0.04	59	0.00	0.02	77	0.22	0.02	92	
 Gtyd LN&LS 90+ P/D / LN&LS 90+ P/D	0.00	1.53	89	0.00	0.37	92	0.00	1.24	90	0.00	0.30	93	0.00	0.05	93	
 Gtyd Nonaccrual LN&LS / Nonaccrual LN&LS	0.00	1.52	77	0.00	1.87	76	0.00	1.29	77	0.00	0.95	88	0.00	1.17	86	
 Gtyd LN&LS 30-89 P/D / LN&LS 30-89 P/D	0.00	0.57	82	0.00	0.58	84	0.00	0.47	84	0.00	0.02	93	0.00	0.06	92	



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Interest Rate Risk
OCC Charter # 0			County: JACKSON			Interest Rate Risk Analysis--Page 9						7/23/2025 12:03:16 PM
Public Report
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		
 Net Interest Margin Performance	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 5	PCT	BANK	PG 5	PCT
    Int Inc/AEA (1-Qtr-Ann)	9.64	5.49	98	12.03	5.38	99	10.32	5.61	98	12.52	5.22	99	16.03	4.37	99	
       YoY Change	-2.38	0.11	0	-1.49	0.68	0	-2.20	0.27	0	-3.50	0.84	0	4.24	0.78	99	
       QoQ Change	-0.68	-0.12	1	-0.50	0.05	1	-1.16	-0.04	0	0.76	0.18	98	6.93	0.37	99	
    Int Exp/AEA (1-Qtr- Ann)	0.71	2.07	1	0.60	2.17	1	0.90	2.20	2	0.36	1.80	1	0.04	0.65	0	
       YoY Change	0.11	-0.11	86	0.54	0.98	5	0.54	0.16	96	0.32	1.13	2	-0.03	0.37	2	
       QoQ Change	-0.19	-0.13	21	0.24	0.13	86	-0.05	-0.12	73	0.06	0.19	11	0.02	0.27	5	
    Net Interest Margin (1-Qtr-Ann)	8.94	3.44	99	11.43	3.23	99	9.42	3.43	99	12.16	3.42	99	15.99	3.70	99	
       YoY Change	-2.49	0.21	0	-2.03	-0.29	0	-2.74	0.11	0	-3.83	-0.29	0	4.27	0.40	99	
       QoQ Change	-0.48	0.01	1	-0.73	-0.09	1	-1.10	0.08	0	0.70	-0.01	99	6.91	0.10	99	

 ASSETS: Rem Mat/Reprice Date	
    % of Assets: Short-Term Assets	
       Securities (Up to 1 Year)	0.40	1.93	22	0.28	2.04	20	0.50	2.00	26	0.55	2.23	27	1.94	1.85	63	
       Loans (Up to 1 Year)	24.78	23.62	61	14.99	20.73	30	27.11	23.11	69	16.46	17.74	47	17.89	16.78	59	
       IBB, FFS, and Reverse Repo	32.30	5.92	99	21.49	5.34	97	32.53	5.27	99	9.31	5.41	78	6.86	5.08	70	
    Short-Term Assets to Total Assets	57.47	32.73	93	36.76	29.46	74	60.15	31.69	93	26.33	26.72	53	26.69	25.33	59	

    % of Assets: Medium-Term Assets	
       Securities (>1-5 Yrs)	3.07	2.80	64	3.98	3.42	66	3.50	2.87	68	4.79	4.94	57	1.20	5.72	19	
       Loans (>1-5 Yrs)	20.21	28.98	20	48.98	28.28	95	19.58	29.31	19	55.90	28.81	96	55.32	25.87	97	
       CMO, REMIC, Strip MBS < 3 Yrs	1.19	0.37	87	0.40	0.31	68	0.78	0.35	79	0.78	0.30	81	0.56	0.28	77	
    Med-Term Assets to Total Assets	24.47	33.06	21	53.36	32.95	94	23.86	33.46	21	61.47	35.22	97	57.08	33.19	95	

    % of Assets: Long-Term Assets	
       Securities (> 5 Yrs)	1.78	7.85	16	0.83	8.44	10	1.47	7.97	14	0.96	10.01	13	1.39	11.60	13	
       Loans (> 5 Yrs)	0.93	15.63	2	0.89	18.20	3	1.25	16.08	3	0.99	17.32	1	1.87	19.01	3	
       CMO, REMIC, Strip MBS > 3 Yrs	2.56	1.71	71	0.30	1.57	36	1.14	1.59	53	0.34	1.36	47	0.43	1.40	48	
    Long-Term Assets to Total Assets	5.27	26.77	5	2.02	29.90	1	3.86	27.23	3	2.29	30.76	1	3.69	34.20	2	

 LIABILITIES: Rem Mat/Reprice Date	
    % of Assets: Short-Term Liabilities	
       Non-maturity Deposits	70.35	62.11	74	58.62	61.68	36	69.65	61.63	74	58.38	62.31	36	55.34	70.74	12	
       Time Deposits (Up to 1 Year)	5.45	19.90	5	5.22	18.29	5	5.72	20.11	6	5.06	18.42	6	15.42	11.03	76	
       Borrowings (Up to 1 Year)	0.00	1.18	40	0.45	2.09	40	0.00	1.32	42	1.12	2.00	50	0.00	1.32	47	
       FFP/Repos	0.00	0.29	67	0.00	0.41	64	0.00	0.31	67	0.00	0.28	73	0.00	0.41	69	
       Sub Notes&Debentures (Up to 1 Yr)	0.00	0.00	99	0.00	0.00	99	0.00	0.00	99	0.00	0.00	99	0.00	0.00	99	
    Short-Term Liabilities to Total Assets	75.80	84.96	8	64.29	84.43	2	75.37	84.92	7	64.56	84.47	3	70.76	84.91	5	

    % of Assets: Medium-Term Liabilities	
       Time Deposits (> 1 Yr)	12.10	2.65	95	19.64	3.00	97	12.05	2.66	95	18.28	3.81	97	11.76	4.89	90	
       Borrowings (>1-5 Yrs)	0.04	0.79	52	0.00	1.01	46	0.04	0.88	52	0.00	0.96	54	0.00	0.35	63	
       Sub Notes & Debentures (>1-5 Yrs)	0.00	0.00	99	0.00	0.00	99	0.00	0.00	99	0.00	0.00	99	0.00	0.00	99	
    Med-Term Liabilities to Total Assets	12.14	3.76	92	19.64	4.41	96	12.10	3.92	91	18.28	5.09	95	11.76	5.47	87	

    % of Assets: Long-Term Liabilities	
       Borrowings (> 5 Yrs)	0.00	0.05	76	0.00	0.09	74	0.00	0.06	75	0.00	0.06	80	0.00	0.07	79	
       Sub Notes & Debentures (> 5 Yrs)	0.00	0.00	99	0.00	0.00	99	0.00	0.00	99	0.00	0.01	99	0.00	0.01	99	
    Long-Term Liabilities to Total Assets	0.00	0.05	76	0.00	0.09	73	0.00	0.06	75	0.00	0.06	80	0.00	0.07	79	

 Net BS Position to Total Assets	
    Net Short-Term Position (Up to 1 Yr)	-18.33	-51.49	94	-27.53	-54.38	90	-15.23	-52.58	96	-38.23	-56.97	88	-44.07	-58.87	84	
    Net Med-Term Position (>1-5 Yrs)	12.33	28.79	8	33.71	28.08	66	11.77	29.07	8	43.19	29.55	83	45.32	27.32	89	
    Net Long-Term Position (> 5 Yrs)	5.27	26.53	5	2.02	29.54	1	3.86	26.98	3	2.29	30.48	1	3.69	33.91	2	

 Unrealized Appreciation/Depreciation	
    AFS Sec Unrl App (Dep) to T1 Cap	-0.59	-12.09	90	-1.44	-15.95	88	-1.84	-13.99	85	-0.92	-16.77	89	-1.92	-21.80	88	
    HTM Sec Unrl App (Dep) to T1 Cap	0.00	-2.78	97	0.00	-3.46	97	0.00	-2.90	98	0.00	-2.43	97	0.00	-3.52	97	
    AFS/HTM Unrl App (Dep) to T1 Cap	-0.59	-14.25	93	-1.44	-18.69	92	-1.84	-16.38	89	-0.92	-18.62	93	-1.92	-24.26	92	
    Unrl G/L on HTM in AOCI to T1 Cap	0.00	-0.18	98	0.00	-0.30	98	0.00	-0.19	98	0.00	-0.54	99	0.00	-0.52	99	

    AFS Unrl App (Dep) to AFS Amt Cost	-0.47	-7.81	94	-2.28	-9.45	92	-1.87	-8.93	92	-1.24	-8.22	96	-3.29	-9.47	92	
    HTM Unrl App (Dep) to HTM Amt Cost	N/A	-6.39	N/A	N/A	-7.22	N/A	N/A	-7.57	N/A	N/A	-4.85	N/A	N/A	-5.08	N/A	
    AFS/HTM Unrl App (Dep) to Amt Cost	-0.47	-7.97	94	-2.28	-9.52	94	-1.87	-9.08	93	-1.24	-8.08	95	-3.29	-9.31	92	

 Investment Portfolio to Total Assets	
    AFS FV to Total Assets	9.00	14.02	34	5.78	14.94	19	7.39	14.17	27	7.42	18.51	22	5.52	20.34	15	
    HTM Amt Cost to Total Assets	0.00	1.46	52	0.00	1.77	50	0.00	1.46	52	0.00	1.34	62	0.00	1.61	60	
    AFS/HTM to Total Assets	9.00	16.49	24	5.78	17.91	13	7.39	16.66	19	7.42	21.24	17	5.52	23.44	9	

 Subportfolio Unrl App (Dep) to T1 Cap	
    US Treas & Govt Agencies	-0.14	-1.31	64	-0.41	-2.80	67	-0.58	-1.96	54	0.01	-3.47	97	-0.33	-5.15	79	
    Municipal Securities	-0.29	-4.52	71	-0.36	-4.66	70	-0.32	-4.54	72	-0.26	-6.11	76	-0.78	-8.30	73	
    Pass-Through MBS	-0.24	-4.18	79	-0.36	-5.53	78	-0.36	-5.01	79	-0.36	-4.88	71	-0.40	-5.67	72	
    CMO & REMIC MBS	0.03	-1.32	95	-0.10	-2.33	63	-0.47	-2.08	54	-0.15	-2.15	53	-0.26	-2.45	52	
    Commercial MBS	0.09	-0.63	98	-0.13	-1.34	50	-0.07	-1.10	50	-0.08	-1.20	41	0.00	-1.30	98	
    Asset Backed Securities	0.00	0.00	93	0.00	-0.01	93	0.00	0.00	92	0.00	-0.05	96	-0.14	-0.16	8	
    Structured Financial Products	0.00	-0.04	94	0.00	-0.16	97	0.00	-0.15	95	0.00	-0.16	98	0.00	-0.27	99	
    Other Domestic Debt Sec	-0.04	-0.50	49	-0.07	-0.90	51	-0.04	-0.58	50	-0.08	-0.94	37	-0.01	-0.91	41	
    Foreign Debt Securities	0.00	0.00	99	0.00	0.00	99	0.00	0.00	99	0.00	-0.01	99	0.00	0.00	99	
    Unallocated Port Layer FV Hedge	N/A	-0.01	N/A	N/A	-0.55	N/A	N/A	-0.64	N/A	N/A	1.10	N/A	N/A	0.00	N/A	
 Tot AFS/HTM Unrl App (Dep) to T1 Cap	-0.59	-14.25	93	-1.44	-18.69	92	-1.84	-16.38	89	-0.92	-18.62	93	-1.92	-24.26	92	

 Subportfolio Unrl App (Dep) to Amt Cost	
    US Treasury & Agencies	-0.31	-4.58	85	-1.08	-6.43	85	-1.33	-5.53	80	0.01	-5.75	96	-2.48	-7.26	86	
    Municipal Securities	-3.20	-9.22	83	-3.06	-8.64	83	-3.33	-9.21	83	-2.10	-7.64	85	-6.02	-9.38	71	
    Pass-Through MBS	-3.84	-9.23	82	-9.66	-11.50	67	-5.44	-11.05	82	-3.74	-9.93	86	-3.38	-10.41	91	
    CMO & REMIC MBS	0.07	-7.18	91	-6.75	-10.01	66	-2.29	-8.89	82	-4.73	-9.17	74	-2.48	-9.61	90	
    Commercial MBS	0.58	-6.69	95	-2.13	-9.26	87	-0.45	-8.12	92	-1.00	-8.05	88	N/A	-8.41	N/A	
    Asset Backed Securities	N/A	-0.64	N/A	N/A	-0.88	N/A	N/A	-0.66	N/A	N/A	-1.07	N/A	-1.94	-2.88	66	
    Structured Financial Products	N/A	-3.12	N/A	N/A	-5.00	N/A	N/A	-4.10	N/A	N/A	-4.34	N/A	N/A	-6.46	N/A	
    Other Domestic Debt Sec	-2.52	-5.24	69	-3.78	-9.02	78	-2.48	-6.58	76	-4.04	-9.39	73	-0.21	-8.00	85	
    Foreign Debt Securities	N/A	-2.83	N/A	N/A	-5.47	N/A	N/A	-3.73	N/A	N/A	-4.80	N/A	N/A	-7.27	N/A	
 Tot AFS/HTM Unrl App (Dep) to AC	-0.47	-7.97	94	-2.28	-9.52	94	-1.87	-9.08	93	-1.24	-8.08	95	-3.29	-9.31	92	

 Memorandum	
    Int Rate Cont Not Amt % of Assets	0.00	2.24	42	0.00	1.95	46	0.00	2.17	42	0.00	0.25	73	0.00	0.14	75	
    Mortgage Servicing (FV) % of Assets	0.00	0.04	63	0.00	0.04	62	0.00	0.04	63	0.00	0.03	74	0.00	0.03	73	
    Structured Notes % of Assets	0.06	0.04	80	0.09	0.06	80	0.06	0.04	79	0.10	0.13	72	0.00	0.18	69	

 Long Assets Insts w/Options	
 Mortgage Loans & Pass Thrus	2.14	17.15	3	3.17	16.69	5	2.56	17.30	3	4.06	18.89	5	3.55	18.31	4	
    Loans & Securities Over 15 Years	0.37	5.76	8	0.31	5.72	9	0.41	5.69	9	0.35	4.77	15	0.43	4.91	17	
    Loans & Securities 5-15 Years	0.47	3.40	12	0.63	3.83	14	0.52	3.55	13	0.70	4.46	13	0.82	4.89	12	

 Other Loans and Securities	49.03	67.24	6	66.78	68.69	39	50.87	67.93	7	75.60	66.39	78	76.06	67.02	77	
    Loans & Securities Over 15 Years	0.49	3.00	25	0.30	3.58	16	0.64	3.11	28	0.34	3.94	17	0.38	4.54	17	
    Loans & Securities 5-15 Years	1.39	10.16	5	0.50	12.12	1	1.16	10.42	4	0.55	12.81	1	1.63	14.84	2	
 Total Loans & Securities Over 15 Years	0.85	9.49	7	0.60	10.22	5	1.05	9.60	8	0.69	9.84	9	0.81	10.63	9	

 CMO'S Total	3.76	2.20	74	0.69	1.98	41	1.91	2.05	59	1.12	1.76	57	0.99	1.80	53	
    Avg Life Over 3 Years	2.56	1.71	71	0.30	1.57	36	1.14	1.59	53	0.34	1.36	47	0.43	1.40	48	

 Contractual Mat/Reprice Data	
 Loans/Securities Over 3 Year	10.21	41.71	2	9.97	47.13	2	9.60	42.38	2	13.75	49.58	1	13.37	53.79	1	
 Liabilities Over 3 Year	0.04	0.84	15	0.00	1.14	5	0.04	0.92	13	0.00	1.28	5	0.02	1.11	7	
    Net Over 3 Year Position	10.18	40.36	3	9.97	45.50	3	9.56	41.02	2	13.75	47.62	2	13.36	52.22	1	

 Loans/Securities Over 1 Year	29.75	61.19	4	55.38	64.51	22	27.72	62.23	3	63.76	67.54	32	60.77	68.88	22	
 Liabilities Over 1 Year	12.14	4.00	91	19.64	4.77	96	12.10	4.15	90	18.28	5.30	94	11.76	5.69	86	
    Net Over 1 Year Position	17.60	56.47	2	35.74	59.00	9	15.63	57.43	2	45.48	61.33	13	49.00	62.40	15	

 Non-Maturity Deposits	70.35	62.11	74	58.62	61.68	36	69.65	61.63	74	58.38	62.31	36	55.34	70.74	12	
 Non-Maturity Deps % Long Assets	688.73	163.12	98	588.02	139.22	98	725.70	159.59	98	424.53	133.09	98	413.84	137.64	98	
    Net Over 3 Year Position	-60.13	-20.06	1	-48.65	-14.24	3	-60.05	-18.95	1	-44.63	-12.47	5	-41.97	-16.74	8	

 As % Tier 1 Capital	
 Structured Notes	0.77	0.42	81	0.97	0.58	80	0.80	0.44	80	0.99	1.23	72	0.00	1.73	69	
 Mortgage Servicing (FV)	0.00	0.40	63	0.00	0.42	62	0.00	0.40	63	0.00	0.31	74	0.00	0.35	73	
    Total	0.77	1.19	63	0.97	1.37	63	0.80	1.22	63	0.99	1.90	60	0.00	2.50	50	



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Liquidity & Funding
OCC Charter # 0			County: JACKSON			Liquidity & Funding--Page 10						7/23/2025 12:03:18 PM
Public Report
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		
 Percent of Total Deposits	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 5	PCT	BANK	PG 5	PCT
 Individ, Partnerships, and Corp.	96.99	88.81	87	95.11	89.15	77	96.39	88.87	84	96.99	88.31	87	98.90	88.96	93	
 U.S. Govt, States & Political Sub in U.S.	2.76	9.76	15	4.47	9.45	25	3.42	9.73	18	1.98	10.35	11	0.09	9.79	4	
 Comml Banks & Other Dep Inst. in U.S.	0.23	0.54	59	0.43	0.52	71	0.19	0.51	59	1.04	0.57	81	1.00	0.50	81	
 Banks in Foreign Countries	0.00	0.05	98	0.00	0.08	98	0.00	0.08	98	0.00	0.01	99	0.00	0.02	99	
 Foreign Govts and Official Inst.	0.02	0.00	95	0.00	0.00	98	0.00	0.07	97	0.00	0.04	98	0.00	0.03	99	
    Total deposits	100.00	100.00	89	100.00	100.00	92	100.00	100.00	88	100.00	100.00	88	100.00	100.00	92	

 Domestic Demand Deposits	65.40	24.84	98	47.28	24.40	89	63.91	24.57	98	46.70	25.95	92	32.71	28.15	64	
 Domestic Other Transaction Accts	0.00	9.53	14	0.00	8.66	14	0.00	9.18	15	0.00	12.24	10	0.25	13.21	11	
 Domestic Nontransaction Accts	34.60	63.45	3	52.72	64.72	26	36.09	64.11	3	53.30	59.65	35	67.03	56.33	77	
 Total Domestic Deposits	100.00	99.90	99	100.00	99.91	99	100.00	99.92	99	100.00	100.00	99	100.00	100.00	99	
 Deposits in Foreign Offices	0.00	0.10	99	0.00	0.09	99	0.00	0.08	99	0.00	0.00	99	0.00	0.00	99	
    Total Deposits	100.00	100.00	99	100.00	100.00	99	100.00	100.00	99	100.00	100.00	99	100.00	100.00	99	

 Liquidity/Funding Ratios	
 Net Non Core Fund Dep $250M	-27.93	8.96	1	4.73	10.91	29	-21.49	10.02	3	18.28	7.24	80	24.01	2.61	94	
 Core Deposits	70.24	73.93	32	58.64	72.82	11	66.08	73.60	21	58.50	76.03	7	55.74	81.31	2	
 Short Term Non Core Funding	5.57	11.63	18	5.59	12.26	15	9.31	11.91	40	6.09	10.09	26	15.14	6.57	90	
 S.T Inv to S.T. Ncore Fund	590.33	87.24	96	392.92	72.89	94	356.18	79.10	93	156.66	108.56	76	49.28	227.42	36	
 S.T. Asset to S.T. Liabilities	1003.72	109.28	98	637.42	99.79	97	1006.28	104.38	98	401.51	107.56	95	164.42	173.41	58	
 Net S.T. Liabilities to Assets	-49.27	1.48	0	-30.48	2.70	4	-51.86	2.46	0	-18.64	1.55	9	-9.93	-4.94	32	
 Net Loans & Leases to Deposits	52.07	82.61	3	77.77	82.95	35	54.71	83.32	3	89.90	78.03	72	90.95	73.79	78	
 Net LN&LS to Core Deposits	65.16	96.90	6	110.71	97.45	72	72.38	97.86	12	125.57	88.48	90	134.67	80.04	96	
 Brkr Dep Mat < 1 Yr to Brkr Deps	33.31	51.06	19	20.11	48.25	18	45.35	49.96	29	20.74	37.72	27	56.92	41.63	40	
 Brokered Deposits to Deposits	20.63	4.49	92	29.55	4.92	95	25.20	4.44	95	28.17	2.65	97	32.01	1.58	98	
 Listing Service Dep to Deposits	0.00	0.18	73	0.00	0.14	73	0.00	0.16	76	0.00	0.32	73	0.00	0.29	75	
 List Service and Brkrd Dep to Deps	20.63	4.92	92	29.55	5.26	95	25.20	4.83	94	28.17	3.37	96	32.01	2.20	97	
 Sec Bor + sec FFP to Tot Bor + FFP	0.00	1.34	78	100.00	16.23	99	0.00	3.07	75	0.00	12.00	63	N/A	2.30	N/A	
 Recip Brkrd Dep to Tot Brkrd Dep	0.67	7.05	77	0.31	6.62	79	15.82	7.16	80	0.00	4.75	82	0.00	3.98	84	


 Total Deposits																		
 Individ, Partnerships, and Corp.		1,490,284			830,855			1,337,124			741,170			667,023				
 U.S. Govt, States & Political Sub in U.S.		42,483			39,019			47,395			15,116			620				
 Comml Banks & Other Dep Inst. in U.S.		3,470			3,719			2,643			7,914			6,777				
 Banks in Foreign Countries		0			0			0			0			0				
 Foreign Govts and Official Inst.		247			0			0			0			0				
    Total Deposits		1,536,484			873,593			1,387,162			764,200			674,420				

 Domestic Demand Deposits		1,004,932			413,015			886,551			356,886			220,628				
